"","slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"2986","bitcoin-cash","BCH","Bitcoin Cash",2018-04-08,5,640.89,659.81,640.89,655.26,198906000,11180534840,0.759513742071882,18.92
"2987","bitcoin-cash","BCH","Bitcoin Cash",2018-04-09,5,656.09,680.6,627.32,637.03,254947008,10870684888,0.182244744744743,53.28
"2988","bitcoin-cash","BCH","Bitcoin Cash",2018-04-10,5,637.7,657.01,628.86,649.62,225054000,11086647103,0.737477797513321,28.15
"2989","bitcoin-cash","BCH","Bitcoin Cash",2018-04-11,5,648.9,666.58,648.9,666.58,252158000,11377412411,1,17.68
"2990","bitcoin-cash","BCH","Bitcoin Cash",2018-04-12,5,666.39,734.48,658.93,734.48,417016992,12537506749,1,75.55
"2991","bitcoin-cash","BCH","Bitcoin Cash",2018-04-13,5,735.78,781.13,725.4,738.3,384095008,12604116397,0.231473174232908,55.73
"2992","bitcoin-cash","BCH","Bitcoin Cash",2018-04-14,5,738.72,760.48,723.22,738.98,267415008,12617189720,0.422973698336017,37.26
"2993","bitcoin-cash","BCH","Bitcoin Cash",2018-04-15,5,741.91,785.35,741.91,780.83,327336000,13332965082,0.89594843462247,43.44
"2994","bitcoin-cash","BCH","Bitcoin Cash",2018-04-16,5,781.12,797.88,745.73,766.47,382080000,13089241458,0.397698945349952,52.15
"2995","bitcoin-cash","BCH","Bitcoin Cash",2018-04-17,5,766.7,784.49,755.38,757.59,331700992,12938925099,0.0759189282033678,29.11
"2996","bitcoin-cash","BCH","Bitcoin Cash",2018-04-18,5,758.25,893.57,757.39,888.91,634652992,15183404214,0.965780584520487,136.18
"2997","bitcoin-cash","BCH","Bitcoin Cash",2018-04-19,5,890.66,983.58,878.45,968.64,658164992,16547121874,0.857890231142395,105.13
"2998","bitcoin-cash","BCH","Bitcoin Cash",2018-04-20,5,970.15,1142.5,947.88,1128.02,1006640000,19271883294,0.925598602404686,194.62
"2999","bitcoin-cash","BCH","Bitcoin Cash",2018-04-21,5,1126.86,1172.28,1028.03,1154.69,1093510016,19729798322,0.878058925476604,144.25
"3000","bitcoin-cash","BCH","Bitcoin Cash",2018-04-22,5,1147.48,1250.51,1116.27,1201.22,968409024,20527017940,0.632821811680572,134.24
"3001","bitcoin-cash","BCH","Bitcoin Cash",2018-04-23,5,1194.71,1443.27,1194.71,1432.26,1934290048,24477753078,0.955704859993563,248.56
"3002","bitcoin-cash","BCH","Bitcoin Cash",2018-04-24,5,1434.01,1560.94,1414.11,1426.42,2053920000,24380281489,0.083838452632297,146.83
"3003","bitcoin-cash","BCH","Bitcoin Cash",2018-04-25,5,1426.71,1437.18,1246.61,1284.79,1830969984,21962007542,0.200346329432755,190.57
"3004","bitcoin-cash","BCH","Bitcoin Cash",2018-04-26,5,1289.54,1420.41,1250.86,1420.41,1281929984,24282832217,1,169.55
"3005","bitcoin-cash","BCH","Bitcoin Cash",2018-04-27,5,1422.06,1422.06,1337.85,1337.85,905273024,22873890375,0,84.21
"3006","bitcoin-cash","BCH","Bitcoin Cash",2018-04-28,5,1337.96,1418.61,1334.27,1396.25,808801984,23874967438,0.734882617974864,84.34
"3007","bitcoin-cash","BCH","Bitcoin Cash",2018-04-29,5,1393.99,1477.31,1378.01,1440.3,1049449984,24630696326,0.627291037260825,99.3
"3008","bitcoin-cash","BCH","Bitcoin Cash",2018-04-30,5,1440.96,1440.96,1339.36,1350.05,753113984,23089803896,0.105216535433071,101.6
"3009","bitcoin-cash","BCH","Bitcoin Cash",2018-05-01,5,1348.64,1351.28,1261.6,1351.28,774633024,23113272798,1,89.68
"3010","bitcoin-cash","BCH","Bitcoin Cash",2018-05-02,5,1353.54,1480.58,1326.91,1458.72,1165139968,24953703084,0.857747120452918,153.67
"3011","bitcoin-cash","BCH","Bitcoin Cash",2018-05-03,5,1459.55,1536.8,1454.97,1511.97,1282659968,25867122953,0.696566051570329,81.83
"3012","bitcoin-cash","BCH","Bitcoin Cash",2018-05-04,5,1501.4,1538.46,1466.21,1517.33,960185024,25961592167,0.707543252595154,72.25
"3013","bitcoin-cash","BCH","Bitcoin Cash",2018-05-05,5,1516.74,1753.11,1515.07,1752.1,1664400000,29981891398,0.995757015627626,238.04
"3014","bitcoin-cash","BCH","Bitcoin Cash",2018-05-06,5,1758.83,1838.49,1670.34,1765.69,1946960000,30217488953,0.567053226286055,168.15
"3015","bitcoin-cash","BCH","Bitcoin Cash",2018-05-07,5,1766.66,1781.47,1590.3,1655.2,1407629952,28329658360,0.339488413453994,191.17
"3016","bitcoin-cash","BCH","Bitcoin Cash",2018-05-08,5,1673.07,1693.35,1569.44,1611.94,1060739968,27592020264,0.342990880477766,123.91
"3017","bitcoin-cash","BCH","Bitcoin Cash",2018-05-09,5,1607.87,1679.03,1484.29,1638.34,1273219968,28046926773,0.79105473965287,194.74
"3018","bitcoin-cash","BCH","Bitcoin Cash",2018-05-10,5,1646.15,1669.83,1523.56,1528.59,1070040000,26170760102,0.0343884596978189,146.27
"3019","bitcoin-cash","BCH","Bitcoin Cash",2018-05-11,5,1527.49,1556.64,1332.58,1371.74,1513260032,23487841058,0.174774613942694,224.06
"3020","bitcoin-cash","BCH","Bitcoin Cash",2018-05-12,5,1376.05,1501.65,1284.44,1472.4,1461449984,25214058585,0.865337691634824,217.21
"3021","bitcoin-cash","BCH","Bitcoin Cash",2018-05-13,5,1474.76,1507.88,1427.09,1493.12,921628032,25571546400,0.817304121797252,80.79
"3022","bitcoin-cash","BCH","Bitcoin Cash",2018-05-14,5,1489.33,1501.64,1353.79,1431.69,1158710016,24522075801,0.526885356780521,147.85
"3023","bitcoin-cash","BCH","Bitcoin Cash",2018-05-15,5,1430.28,1456.35,1323.31,1343.38,939358016,23011847516,0.150856885147325,133.04
"3024","bitcoin-cash","BCH","Bitcoin Cash",2018-05-16,5,1341.89,1359.36,1241.99,1280.62,913177984,21939149631,0.32913010138877,117.37
"3025","bitcoin-cash","BCH","Bitcoin Cash",2018-05-17,5,1290.22,1335.41,1185.99,1206.17,804139008,20665642307,0.135055548119395,149.42
"3026","bitcoin-cash","BCH","Bitcoin Cash",2018-05-18,5,1202.2,1218,1143.12,1207.24,876974976,20686223396,0.85630341880342,74.88
"3027","bitcoin-cash","BCH","Bitcoin Cash",2018-05-19,5,1206.61,1208.99,1159.66,1184.96,595862016,20306600272,0.512872491384552,49.33
"3028","bitcoin-cash","BCH","Bitcoin Cash",2018-05-20,5,1183.2,1306.95,1174.97,1291.77,805598976,22139339235,0.884982573117139,131.98
"3029","bitcoin-cash","BCH","Bitcoin Cash",2018-05-21,5,1296.03,1301.55,1221.57,1233.64,622772992,21145453148,0.150912728182048,79.98
"3030","bitcoin-cash","BCH","Bitcoin Cash",2018-05-22,5,1233.7,1233.7,1131.93,1141.86,634201984,19574049585,0.0975729586322083,101.77
"3031","bitcoin-cash","BCH","Bitcoin Cash",2018-05-23,5,1142.25,1153.91,978.27,1005.61,858105984,17240265831,0.155659303120018,175.64
"3032","bitcoin-cash","BCH","Bitcoin Cash",2018-05-24,5,1005.01,1078.36,958.82,1071.36,785384000,18369471600,0.941442195081143,119.54
"3033","bitcoin-cash","BCH","Bitcoin Cash",2018-05-25,5,1072.74,1073.05,998.52,1017.3,620339968,17444380643,0.251979068831343,74.53
"3034","bitcoin-cash","BCH","Bitcoin Cash",2018-05-26,5,1015.68,1046.49,1001.18,1012.48,486185984,17363589040,0.249393069962482,45.31
"3035","bitcoin-cash","BCH","Bitcoin Cash",2018-05-27,5,1009.2,1009.79,982.27,996.92,507305984,17098555063,0.532340116279069,27.52
"3036","bitcoin-cash","BCH","Bitcoin Cash",2018-05-28,5,996.65,1005.65,884.05,892.12,566168000,15302656175,0.0663651315789478,121.6
"3037","bitcoin-cash","BCH","Bitcoin Cash",2018-05-29,5,896.85,1003.51,880.89,987.66,688334016,16943358765,0.870738868047627,122.62
"3038","bitcoin-cash","BCH","Bitcoin Cash",2018-05-30,5,990.07,1025.64,954.89,984.68,591774976,16893852272,0.421060070671378,70.75
"3039","bitcoin-cash","BCH","Bitcoin Cash",2018-05-31,5,983.57,1027.73,975.4,995.34,705260032,17078622466,0.381043378559145,52.33
"3040","bitcoin-cash","BCH","Bitcoin Cash",2018-06-01,5,995.66,1010.34,979.83,1002.92,538528000,17210408076,0.756801048836444,30.51
"3041","bitcoin-cash","BCH","Bitcoin Cash",2018-06-02,5,1003.33,1093.86,996.59,1084.78,689121024,18617224876,0.90665158836229,97.27
"3042","bitcoin-cash","BCH","Bitcoin Cash",2018-06-03,5,1083.13,1190.57,1074.82,1170.4,842262016,20088760230,0.82574514038877,115.75
